Company,Address,Postal Code,City,Country,Website,Phone,Online,Physical
Verwondering,Hoogbrugstraat 21,6221 CN,Maastricht,NL,https://www.verwondering.nl,310433211334,X,X
CO.TUR SRL,CORSO VITTORIO EMANUELE 56/C,33170,PORDENONE PN,IT,,39043421265,,X
Hair Design Helsinki Oy,Neitsytpolku 5 D 88,00140,Helsinki,FI,,,,X
CELONA GASTRO GMBH,ammerländerherstrasse 255,26129,Oldenburg,DE,,49441217130,,X
Leffers GmbH & Co.KG,Bahnhofstraße 40,49393,Lohne (Oldenburg),DE,,+49 44427033410,,X
Merjan Puutarha Oy,PL 24 ,33401,TAMPERE,FI,,,,X
The Forest & Co.,"3 Webbers Way, Webbers Yard",TQ9 6JY,Devon,GB,https://www.theforestandco.com,+44 1803840748,,X
Fumi Oy,PL 72,00131,Helsinki,FI,https://www.fumi.fi,+ 358 44 972 67 97,,X
Nurminen Sirpa Anneli / Aspera Design,c/oSirpa Nurminen Palokunnankatu 8 B 46 ,13100,HÄMEENLINNA,FI,,449739101,,X
ScèneDeVie,5 rue de la poste,74000,ANNECY,FR,,,,X
Whitestory,Frognerveien 30C,NO-0263,Oslo,NO,,,,X
Eiendom & Design AS,Hesteskoen 6A,NO-1406,Kråkstad,NO,,45418042,,X
Milla Boutique AS,Holmens Gate 4,NO-0250,Oslo,NO,,,,X
Forma Studio AS,Storgata 54,NO-9008,Tromsø,NO,,45495027,,X
Kenza AS,Havnegate 5,NO-4950,Risør,NO,,45498700,,X
Flora,Klaksvíksvegur 63,700,Klaksvík,FO,,00298455115,,X
"Dehon, Eve",Nouveau Chemin de Saint-Marc(SS) 33 ,5002,Namur,BE,,,,X
Mulperipuu Helsinki,Liisankatu 21,00170,Helsinki,FI,,358457733001,,X
Wood & Food AS,Torvet 9,4836,Arendal,NO,,45807533,,X
Lykkehjørnet AS,Markedsgt 21-25,NO-9510,Alta,NO,,45810421,,X
Schwester herz,Süderstrasse 42,24955,Harislee,DE,,4946195704911,,X
I.D.Sievers GmbH&Co.KG,Stadtweg 35-37,24837,Schleswig,DE,https://www.idsievers.de,00494621962413,,X
Kitty Ovens Interiors,Sandal Terrasse 11A,NO-4022,Stavanger,NO,https://www.kittyovensinteriors.com,46380333 ,,X
Blaa ting & tøy,Senterveien 30,4790,Lillesand,NO,,,,X
Møbelringen Forus AS,Stokkamyrveien 28,4313,Sandnes,NO,,,,X
Babar Studio AS,Hoslejordet 4,NO-1362,Hosle,NO,,46 54 77 73,,X
Expo Nova Bergen AS,Edvards grieg vei 1,NO-5059,Bergen,NO,,46625587,,X
S.A.G. AS,Vannebos Veg 205,NO-2743,Harestua,NO,,46673269,,X
Arnt Harald Stange,Basbergveien 56 b,NO-3114,Tønsberg,NO,,,,X
Helmer Te & Kaffe AS,Breigata 8,4006,Stavanger,NO,,46909335,,X
Boas Studio AS,Maridalsveien 19,NO-0178,Oslo,NO,,,,X
Home of Geraldine,Boerenlegerstraat 161,BE-2650,,BE,,+320470870568,,X
Thelma,Vaartstraat 12,BE-3000,Leuven,BE,https://www.thelmastore.be/,320471099746,X,X
Evoke Agency,Grønnegata 32,NO-9008,Tromsø,NO,,47151692,,X
Yojoa Décoration,"2, rue du Commerce",43120,Monistrol sur Loire,FR,https://www.yojoa.fr,33471660429,,X
Pépite store,"Avenue Georges-Bedoret, Gd-M. 46",5030,Gembloux,BE,,,,X
Design & Bain,"23, rue Auguste Comte",69002,Lyon,FR,,33472418973,,X
Mors Hus AS,Dreyersgt. 55,NO-8312,Henningsvær,NO,,47255875,,X
Talenthuis VOF,Wassenkerkhofstraat 13,BE-9890,Gavere,BE,,320472739014,,X
Strikken AS,Mellomriksveien 4867,NO-7530,Meråker,NO,,47285613,,X
Lichtstudio,Gampenstr. 13/Via Palade 13,39020,Marling/Marlengo (BZ),IT,,39047320400,,X
Luchilla,Steenbergestraat 9e,BE-3384,Attenrode,BE,https://www.luchilla.be,320473399276,X,X
Soleilvert,Driftweg 3,BE-8420,De Haan,BE,,320473791724,,X
ROHSTOFF Sprl,Gospertstrasse 88,4700,Eupen,BE,https://www.rohstoff.be,,,X
Galeries Lafayet,"27, rue de la Chauss. dAntin",75009,PARIS,FR,https://www.galerieslafayette.com,,X,
Ålesund interiørstudio AS,Daaevegen 2b,NO-6018,Ålesund,NO,,47494790,,X
Novasolo AS,Hegdalringen 11,NO-3261,Larvik,NO,https://www.novasolo.no,+4747518884,X,X
Venotti,Zuidstraat 58,BE-8800,Roeselare,BE,,320475378824,,X
Swapp sprl,Chaussée de Halle 13-15,1640,Rhode-Saint-genese,BE,https://www.swapp.be/,32023583999,X,X
F&H of Scandinavia AS,Postboks 491 Skøyen,NO-0213,Oslo,NO,,+4747605374,,X
Amundsen Trading AS,Raglamyrvegen 20,NO-5536,Haugesund,NO,https://www.amundsentrading.no ,,,X
Kastellhagen Interiør AS,Ekebergveien 170,1177,Oslo,NO,,47674655,,X
Emil Retail AS,Markeveien 10,NO-5012,Bergen,NO,,,,X
Kaolin Lyon,"1, place Bellecour",69002,Lyon,FR,https://www.kaonline.fr,33478375356,,X
Philline,Oudaan 15,BE-2050,Antwerpen,BE,,320478405760,,X
Milla LAB AS,Killingmobakken 47,NO-1930,Aurskog,NO,https://www.millalab.no,,X,X
urban.soul.interiors,,,Brussels,BE,,320479509240,,X
Itab Room Solutions AS,Trondheimsveien 156,NO-0570,Oslo,NO,,,,X
The Well AS,Kongeveien 65,NO-1412,Sofiemyr,NO,,480 44 888,,X
Cartofflene AS,Jernbanegata 25,NO-7650,Verdal,NO,,48072447,,X
Så Interiør,Frostavegen 2310,7633,Frosta,NO,,004748083361,,X
Norstyled AS,Bjunegrenda 10,NO-3174,Revetal,NO,,48185817 ,,X
Oslo Deco AS,Nordraaks vei 22,NO-1369,Stabekk,NO,https://www.oslodeco.no,48197271,,X
Herzklopfen,Hohen Zollern Str. 14,25761,Büsum,DE,https://www.herzklopfen-buesum.de,004948349085414,,X
Den Gamle Kommandant AS,Fredriksten festning,1769,Halden,NO,,48505092,,X
Fjøs AS,Storgata 83,2615,Lillehammer,NO,,4748508319,,X
Etienne home,Bredabaan 231,BE-2930,Brasschaat,BE,,320485799067,,X
Kristiansand Interiørstudio AS,Gjelstadveien 38b,NO-3178,Våle,NO,,,,X
Bruuns Interiør,Kulturcafeen VP,3200,Helsinge,DK,https://www.connysbazar.dk,48796530,,X
Bestinn AS,Dalsbergstien 2,NO-0170,Oslo,NO,,,,X
"Shiamal City Life Co., Ltd.",No. 10 Kung Yen Rd.,(528),"Chang Hua, Taiwan P. O. C.",TW,https://www.shiamal.com,+886 48951387114,,X
Leffers GmbH & Co. KG,Mühlenstrasse 131,26789,Leer,DE,,4949192808360,,X
Jolie Maison Décoration,"7, rue Verdi",06000,Nice,FR,,,,X
Maison Mer,"56, rue Gambetta",83990,Saint Tropez,FR,https://www.maisonmer.fr,33494974098,,X
Fabbricasa,"13, quai Banda del Ferro",20169,Bonifacio,FR,,33495226998,,X
SRL BLUEBAL,Rue Neuve(GER) 43 ,BE-6280,Gerpinnes,BE,,+32 495 299 239,,X
KOPERHUIS Lifestyle & interior,Kraanlei 27,BE-9000,Gent,BE,https://www.koperhuis.be/,0032 0496992037,X,X
SRL Gaspar et Lily SRL,Rue de la Croix 40-42 ,BE-5000,Namur,BE,,+32 (0)497 30 05 38,,X
Huiszwaluw,Onderbergen 51,BE-9000,Gent,BE,,32093982277,,X
ECLAT Meurisse Céline,"Rue des Déportés, Beuzet 35",5030,Gembloux,BE,,+32497903454,,X
VVA Concept Store,Rue de Souvret 42,6180,Courcelles,BE,https://www.vva-concept-store.com,0032498272549,X,X
We Are D,Muldersdreef 43,9831,Deurle,BE,https://shop.decovry.com,(+32) 9 352 01 34,X,X
NordDesign,Modrzewiowa 5,80-297,Banino,PL,https://www.norddesign.pl,48502665441,,X
VALKOINEN PUU,Topeeka 15,61800,Kauhajoki,FI,,,,X
Javana NV,Steenstraat 6,BE-8000,Brugge,BE,https://www.javana.be,+32(0)50333605,X,X
Dots Stores,Fredrikinkatu 30,00120,Helsinki,FI,,,X,X
Laif&Nuver,Rode Weeshuisstraat 7,9712 ET,Groningen,NL,https://www.laifennuver.nl,310508500562,X,X
Dots Turku,Linnankatu 9-11,20100,Turku,FI,,,,X
Dina lifestyle,Oravatie 5,HELSINKI,00800,FI,,,,X
Bau Ventures Oy,Käenkuja 3 A ,00500,Helsinki,FI,,+358504629898,,X
Interiori Oy,Finlaysoninkuja 8,33210,Tampere,FI,https://www.interiori.fi,+358 50 492 9904,,X
At Home Conceptstore,Rijkstraatweg 155,9752 BD,Haren,NL,,310505536762,,X
Valhalla Living OÜ,Suur-Sõjamäe põik 6,11415,Tallinn,EE,https://www.valhallaliving.com,3725067645,X,
LIVING Wohnen & Genießen,Hauptstr. 29,30974,Wennigsen,DE,,495103705756,,X
Wachters Wohnen & Schenken,Leopoldstraße 34,6020,Innsbruck,AT,,0043512563600,,X
Halvorsen Fargehandel AS,Skulegata 13,NO-4360,Varhaug,NO,,004751436100,,X
Egersund Hagesenter AS,Hageland Egersund,4373,Egersund,NO,,51493200,,X
Stokkaveien Blomster AS,Stokkaveien 55,4024,Stavanger,NO,,51527011,,X
Hundvåg Hobby,Hundvågv. 50,NO-4085,Hundvåg,NO,,51547356,,X
RH Mæland Steintøykjelleren AS,Figgjoveien 55,4332,Figgjo,NO,,51609186,,X
Rostrup Kaffi & litt Te AS,Langgaten 18,NO-4306,Sandnes,NO,,51622620,,X
Møbelringen I Bjørnsen,Jærveien 250,NO-4340,Bryne,NO,https://www.mobelringen.no,51785020,,X
VIDA Design,De Munt 2,BE-8800,Roeselare,BE,https://www.vida-design.be,3203251801191,X,X
Pand 40,De Veste 13 ,6846BC,Arnhem,NL,https://www.pand-40.nl,+31(0)651981207,X,X
Retroforma,P. Luksio Str. 32,08222,Vilnius,LT,,37052101124,X,
Haus der schöne Dinge,Lange Strasse 21,33378,Rheda-Wiedenbrück,DE,,495242935784,,X
Meital & Mirey,Hamasbir st. 5,58852,Holon,IL,,972542502747,,X
Trendhuset AS,Raglamyrvegen 3,NO-5535,Haugesund,NO,,52701500,,X
Holzdesign / Christian Kofler,Dorfstr. 18,6275,Stumm,AT,,00435283210310,,X
Agnieszka Duda & Grupa Tsuuda,Sanka 337,32-067,Tenczynek,PL,https://www.agamartin.com,48533011400,X,
Genie A/S,Torgbakken 9,NO-5411,Stord,NO,,,,X
T&I OÜ,Staapli 3,10415,Tallinn,EE,https://www.tobiasandida.ee,+372 53428707,,X
SAS MALAURE,"37, rue de Metz",31000,Toulouse,FR,,,,X
Sæbøvik Gaver & Leiker,Sentrum,NO-5454,Sæbøvik,NO,,53476207,,X
Hofinger KG,Kaiserstrasse 4,6380,St. Johann in Tirol,AT,,43535262319,,X
Hjem.dk,Hårup Bygade 14,8600,Silkeborg,DK,https://www.hjem.dk,53531133,X,
Dalivo.de,,,,DE,https://www.dalivo.de,,X,
MARK&WALDORF,Teglværksvej 6,5620,Glamsbjerg,DK,https://www.markwaldorf.dk,53623620,,X
Ølen Møbel AS,Dreganesveien 2,NO-5580,Ølen,NO,,53775390,,X
K2 Trading OÜ.,Sinilille tee 2,76916,Tiskre,EE,,,,X
Maurits,Mauritsstraat 17,4811 EN,Breda,NL,https://www.maurits-shop.nl,+31(0)765426150,X,X
deko-schwester.de GmbH,Lehmstiege 3,48477,Hörstel,DE,,00495459999900,,X
Kdesign,47 rue Marcel Dassault,92514,Boulogne Billancourt ced,FR,https://www.kdesign.fr,+33 (0)547439410,X,
Carts,Via C.Battisti 76,47521,Cesena FC,IT,,34547612574,,X
Anne-Marie Wonen Holten,Aaltinksweg 14 A,7451 DX,Holten,NL,https://www.annemariewonen.nl,+31(0)548361223,,X
Behmann GmbH,Loco 910,6863,Egg,AT,https://www.mode.behmann.at,55122303,,X
Pand Diependaele,Ruttemburgstraat 48,BE-9700,Oudenaarde,BE,https://www.panddiependaele.be,32055302402,,X
Botanica Blomster AS,Strømgaten 8,NO-5015,Bergen,NO,,+4755310408,,X
Solstrand Blomster & Interiør,Hollendergaten 3,NO-5017,Bergen,NO,,55544920,,X
Kjeps Bolighus,Kanalvej 1,4700,Næstved,DK,https://www.kjeps.dk,55722075,X,X
GER import,Bildhöfoi 20,110,Reykjavik,IS,,3545581111,,X
SV Trading OÜ,Liivalao 11,11216,Tallinn,EE,https://www.occo.ee,+372 56151422,,X
Bekkjarvik Blomster AS,Bekkjarvik,5397,Bekkjarvik,NO,,56180260,,X
Evelyn Melnikov,Liivaoja 1-54,10155,Tallinn,EE,,37256228888,,X
Velkommen AS,Holsundveien 508,NO-5642,Holmefjord,NO,,56583900,,X
Kaffekrukken,Torvet 16,4600,Køge,DK,https://www.kaffekrukken.dk,56657877,,X
Frederiks Villa,Torvegade 3B,4640,Fakse,DK,https://www.frederiksvilla.dk,56710122,,X
Rienties Wooninspiratie,Schoolstraat 7,8102 EL,Raalte,NL,,+31(0)572353772,X,X
Studio DECONCEPT,Stefanikova 2664,760 01,ZLIN,CZ,https://www.eset.cz,420577001434,,X
Ommedal Manufaktur AS,Postboks 203,NO-6781,Stryn,NO,,57874680,,X
Nygårdens Gårdbutik,Højbyvej 18,4500,Nykøbing Sj.,DK,,59932350,,X
TARTE GALLERY - La Vie,Friedrichstr.26,61231,Bad Nauheim,DE,,4960082379692,,X
Hache marbella hob design SL,Urb Cabo Bermejo apt 622,29680,Estepona Malaga,ES,https://hacheinteriordesignstudio.com/,+34 600959700,,X
SCANDICONCEPT,UL. JAROSLAWA DABROWSKIEGO 12,75-300,KOSZALIN,PL,,48602219255,,X
"UAB ""Planet Group""",Minijos g 42,91197,Klaipėda,LT,,,,X
Intuition interiéry,Att; Silvie Parizkova,53354,Rybitví,CZ,https://eshop.intuition-interiery.cz/,420605204796,X,
Boxdelux,Hjarbækvej 65,8831,Løgstrup,DK,https://www.boxdelux.dk,50446800,X,
Fröken Fräken Sverige AB,Östermovägen 41,854 62,Sundsvall,SE,https://www.frokenfraken.se,+46 60618200,X,
Casa-Carina,Osiedle Makowe 18 a,73-108,Kobylanka,PL,,48608706222,,X
SAS L’ANTEGUY,IMM LES NIGRITELLES,73550,LES ALLUES,FR,,+33 0610135469,,X
Mooi Toch,Hortensiastraat 28,1783 ET,Den Helder,NL,,,,X
Living deco,Islands brygge 94,2300,København S,DK,,61264354,,X
Kohnoa GmbH,Inselstrasse 2,55116,Mainz,DE,,004961311436384,,X
Toscana,Leichhofstrasse 7-9,55116,Mainz,DE,,496131224518,,X
Moniek Weel Interieurs,Verlaatsweg 30,1643 LW,Spierdijk,NL,,310613748316,,X
L'Autre Maison,54 Av de la Motte Picquet,75015,PARIS,FR,,613980965,,X
MB “Go Slow”,Vaidevucio str. 9,08300,Vilniaus m. sav,LT,,,,X
Adler fresneda SL,"C 66 km 12,5",17121.,corça,ES,,34615065303,,X
BOTHERAPY,20 rue des Tilleuls,74000,Annecy,FR,,,,X
Decosense,Domus Galerija,09108,Vilnius,LT,,37061600516,,X
Un air de famille,29 rue de la Guisane,05240,La Salles les Alpes,FR,,00330616493374,,X
MAIOLICA BOUTIQUE,"1, rue Neuve St. Roch",20200,"Bastia, Corse",FR,,33495654437,,X
Rosige Zeiten,Am Zellerbruch 30,63533,Mainhausen,DE,https://www.rosige-zeiten-seligenstadt.de,004961823086986,X,X
Sous les fênetres,"2, rue Pasteur",10150,Pont St. Marie,FR,,,,X
Das Lieblingsstück,Alexandra Ebert-Rödel,69469,Weinheim,DE,,491727034222,,X
Das Lagerhaus GmbH,Heidelbergerstr. 29,68519,Viernheim,DE,,004962049292220,,X
Eline Wolvers Interior,Barend van dorenweerdelaan 9,1181BK,Amstelveen,NL,,,,X
live today,Minrebroederstraat 6,3512 GT,Utrecht,NL,,310621814339,,X
Winkel Shop,Tehtaankatu 22,00140,Helsinki,FI,https://www.winkel.fi,003580405800076,,X
La maison Pernoise - Pernes les Fontaines,167 Av de la Gare,84210,Pernes les Fontaines,FR,https://www.lamaisonpernoise.com,33622152974,X,X
Simple Crush,76 Rue Robert Desnos,34070,Montpellier,FR,https://www.simplecrush.fr,0033 0622414181,X,
Living Carrma SL,C/Terriza 26,04004,Almería,ES,celialoquedice.com,34950035793,,X
Maison Marie,Beukenhorst 7,5262 LG,Vucht,NL,,+31(0)623374108,,X
SAS BC RENOVATION,40 RUE DES BLANCS MANTEAUX,75004,Paris,FR,,0033 623387750_,,X
De Tuynkamer,Molenstraat 3,5845 BD,Sint Anthonis,NL,https://www.de-tuynkamer.nl,,,X
SPYK71,Steenstraat 71,6828 CD,Arnhem,NL,,+31(0)624459525,,X
Gave og Interiørglede A/S,Torggt. 71,NO-2317,Hamar,NO,,62535523,,X
Helset Møbler AS,Vangsvegen 185,2321,Hamar,NO,,62541680,,X
Trend Bazaar,Bygmestervej 23,5750,Ringe,DK,https://www.trendbazaar.dk,,X,
Maison Monum,29 rue Paul Bert,35000,Rennes,FR,,00330626366748,,X
Casa Møbel & Interiør,Matrandvegen 514,NO-2235,Matrand,NO,,62830664,,X
Babassu,Keer-Weer 3,2381 GC,Zoeterwoude,NL,https://www.babassu.nl,31628344336,X,X
MOME Lifestyle,Hippolytusbuurt 19,2611 HM,Delft,NL,,+31(0)629003737,,X
Maud Hesselink Interior,Bentheimerstraat 24,7587 NH,De Lutte,NL,,310629595150,,X
Kaffeerösterei Kaiserslautern,Steinstr. 27,67657,Kaiserslautern,DE,,4963187581,,X
Rigeto Studija,Vytauto str. 99,53253,Kaunas,LT,,37063444504,,X
MODECO STUDIO,"C/ Orzán nº 47, 4º Dcha.",15003,A Coruña,ES,https://modecostudio.com/concept-store/,,,X
Il Cementificio,De Santis Architetture & Partnere S.R.L.,00196,Roma,IT,https://www.cement-design.it; www.microfloor.it,39064111416,,X
Nook. Concepts,Leyenbroekerweg 58,6132CG,Sittard,NL,,+31641196579,,X
De Winkel in Leiden,Pieterskerk-Choorsteeg 19,2311 TR,Leiden,NL,,310713030076,,X
Aeg&Ruum Sisustus,showroom open M-F 11-19,10128,Tallinn,EE,,3726419044,,X
SUZ  LOU,1 rue des Jocobins,12000,Rodez,FR,,00330642027224,,X
Depot - Heesch,t Dorp 61 A,5384 MB,Heesch,NL,https://www.depot-heesch.nl,310627597329,X,X
Stoer en Sfeer,Dr. Hubernoodtstraat 9,7001 DS,Doetinchem,NL,,,,X
Les bouquets de paulette,47 rue de Lyon,29200,Brest,FR,,,,X
Decolab laboratorio S.L,"Paseo de la Habana, 105 bis",28036,Madrid,ES,https://decolab.es/,34645891703,,X
The White Door studio,Visseringstraat 39h,1051KH,Amsterdam,NL,https://www.thewhitedoorstudio.nl,31(0)646659720,,X
Saranne,De Lind 15,5061 HS,Oisterwijk,NL,https://www.saranne.nl,310646730767,,X
Studio Moon,Hooghbeemd 7,5581WS,Waalre,NL,,+31(0)648760699,,X
Nåløyet ANS,Torgveien 4,NO-1400,Ski,NO,,004764877470,,X
Le manoir,Brennbicl 41,6463,Karrösten/Tirol,AT,,436505132590,,X
Les intérieurs de Céleste, 12 Rue de l´Eglise,22460,Uzel/Bretagne,FR,,+33 651481818,,X
Uab Saules Sauja,Raudondvario pl. 107B ,LT-47185,Kaunas,LT,https://www.terraza.lt,37065202226,,X
Blanche,Smedenstraat 26,7411 RD,Deventer,NL,,31653710650,,X
Lasas & Loekov,Lutherse Burgwal 20,2512CB,Den Haag,NL,https://www.lasasenloekov.nl,+31654707841,X,X
UAB Ricco,Vytenio str. 14 ,03111,Vilnius,LT,,,,X
isla decor,Via Palma 102,07500,"Manacor, Mallorca",ES,,+34 655939001,X,X
Möbel Fischer GmbH,Saarstraße 44,54634,Bitburg,DE,,49656196680,,X
Eva Rodríguez Castro,C/ Luis Freire García 22,15190,A Coruña,ES,,+34 981 645 380,X,X
Atelier Parissetti,Via leon battista alberti 7,00153,Roma,IT,,390657305202,,X
GUIOMAR DE CARLOS,C./ PADRE DAMIAN 15 6º DCHA.,28036,Madrid,ES,,,X,X
Acte 1,12 rue des Halles,64200,Biarritz,FR,,0033660671787,,X
Butik Zoom,Buchwaldsgade 51,5000,Odense C,DK,https://www.butikzoom.dk,66134475 ,X,X
Basalt market,46 rue Ecuyere,14000,Caen,FR,,00330663060749,,X
Marget sp. z o.o.,Tadeusza Micinskiego 8,30-426,Kraków,PL,https://www.norr.pl,48664009640,X,
Natur und Kunst,Wallenröderstr. 6,36341,Lauterbach/Reuters,DE,,0049664164354,,X
HANNIBAL,Taborstraße 24,1020,Wien,AT,https://www.hannibal-wien.at,06641954787,,X
Wundertüte,Karmeliterplatz 2,AT-1020,Wien,AT,,436642835546,,X
HANNIBAL,Landstraßer Hauptstraße 39,1030,Wien,AT,https://www.hannibal-wien.at,06643866331,,X
HANNIBAL,Alserbachstraße 5,1090,Wien,AT,https://www.hannibal-wien.at,06644279394,,X
HANNIBAL,Josefstädter Straße 15,1080,Wien,AT,https://www.hannibal-wien.at,06644370727,,X
HOME DESIGN by Astrid Harnisch,"Maxingstraße 4, Top 4",AT-1130,Wien,AT,https://www.homedesign-harnisch.com,436645357249,,X
MoreMadam  Dom Skandynawski,Piłsudskiego 17d4,73-110,Stargard,PL,https://moremadam.pl/,48666260480,X,
Ambiance & Curiosités,3 Rue Lakanal,38000,Grenoble,FR,https://www.ambiance-et-curiosites.com,0033666948887,,X
Møbelringen Slependen,Billingstadsletta 23,NO-1396,Billingstad,NO,https://www.mobelringen.no,66697070,,X
Moodies AS,Strøket 9,NO-1383,Asker,NO,,66762200,,X
Asker Blomster AS,Strøket 6,NO-1383,Asker,NO,,,,X
Xponella,Torvveien 5,NO-1383,Asker,NO,,66790200,,X
My room tour,,,,FR,https://www.my-roomtour.com,0033668699850,X,
LB interiorisme,C/Cabestany 25,ES-08010,Barcelona,ES,,0034639775762,,X
"Anna Alvarez,","c/Ginesta 42,",08290,"Cerdanyola del Vallés,",ES,,34669941789,X,
Sandon,av ricardo Soriano 65,29601,"Marbella, Malaga",ES,,,X,X
hermanos Munoz Brennan SL,AVDA Libertad 13,03730,Javea,ES,,,X,X
KOLSÅS HAGESENTER AS,Brynsveien 90,NO-1346,Gjettum,NO,,67175990,,X
Lightup AS,Ole Nielsens vei 13,NO-4330,Ålgård,NO,,67210810,,X
Mi cometa arquitectura y interiorismo SL,Via Sindicato 74 2º right,07002,"Palma, Baleares",ES,,+34 672175156,X,X
Blomster Oasen,Stabekkhuset,NO-1369,Stabekk,NO,,67530318,,X
The Cool Republic,4 rue Drouot,75009,PARIS,FR,https://www.thecoolrepublic.com,0033675519079,X,X
Die Liebelei,Göglstr. 4,3500,Krems,AT,,436765766291,,X
Espacio Volca,Alejandra Centelles Ballester,46007,Valencia.,ES,https://espaciovolca.com/,,X,
La Boutique De L'Hôtel,1 Av de la gare,43190,TENCE,FR,,,,X
"Edge Ingeniería y Diseño, S.L.","Calle San Ramon, 1, oficina 5C",12500,Vinaròs-Castellon,ES,,,X,X
SPRL CTC GROUP,Chaussée de Namur 1 ,1400,Nivelles,BE,,,,X
Italian House of Norway AS,Grini Næringspark 4,1361,Østerås,NO,https://www.italianhouse.no,67870027,,X
Biek,Spiegelstraat 32,1405 HX,Bussum,NL,,310681770571,,X
LABO Concept Store,"10, rue dAvejan",30100,Alès,FR,https://www.labo-concept-store.fr,,,X
Marta De la Peña Jiménez,"calle Marqués de Urquijo 40, 8 derecha,",28008,Madrid,ES,,+34 686064545,X,X
TENTATION,,,,FR,https://tentation.store/fr/,,X,
cayu and chic,Cristina Patricia De la Cruz Rodríguez,28007,Madrid,ES,,+34 686555642,X,X
SARL MAISON SEREN,11 RUE DES GLENAN ,29170,Fouesnant,FR,,+33 687793265,,X
LIZIGAR S.L.,"Kruz Gallastegi 9, behea",20570,"Bergara, Gipuzkoa",ES,,234688845898,X,
CONTI CERT DESIGN,"C/ Padua, 62 Ent 2ª",ES-08010,Barcelona,ES,,+34 93 639 3911,X,
Virginie Biron,Siempre Decoracion,07814,Santa Gertrudis  -Ibiza,ES,,,X,X
CODO A CODO ARQUITECTURA S.L.U.,C/Iris 52 – 4º Izq.,28109,"Alcobendas,Madrid",ES,,,X,X
BG Arquitectura,General Juan Van Halen 1,28030,Madrida,ES,,+34 690816126,X,X
